Compound,Label,SB_con,SB_pre,MB_con,MB_pre,SO_con,SO_pre,MO_con,MO_pre,Consensus_con,Consensus_pre,Receptor
BDB13921,1,0.864262823298968,1,0.6351232394366197,1,0.380181928546911,0,0.4416361416361415,0,0.5803010332296601,1,ERBB2_protein_receptor.pdbqt
BDB13922,1,0.8663080895008606,1,0.6431924882629109,1,0.39661385342954,0,0.431748827932034,0,0.5844658147813363,1,ERBB2_protein_receptor.pdbqt
BDB13923,1,0.8481529291770257,1,0.5167027807872877,1,0.2846081549727972,0,0.2641266812068338,0,0.4783976365359861,0,ERBB2_protein_receptor.pdbqt
BDB13934,1,0.9161025052591318,1,0.4344190140845071,0,0.2966904669247026,0,0.2402898945837876,0,0.4718754702130323,0,HIV1PR_protein_receptor.pdbqt
BDB14835,1,0.5055507745266781,1,0.286959926928984,0,0.0459997352728411,0,0.0383587786259542,0,0.21921730383861435,0,P38-alpha_protein_receptor.pdbqt
BDB14837,1,0.6103373812711163,1,0.4614143192488262,0,0.3650722294934656,0,0.1661214103962195,0,0.4007363351024069,0,P38-alpha_protein_receptor.pdbqt
BDB15234,1,0.5445376745075542,1,0.4225352112676055,0,0.0814572520311463,0,0.116030534351145,0,0.29114016803936277,0,PI3Kg_protein_receptor.pdbqt
BDB15238,1,0.6837014725568942,1,0.5011737089201879,1,0.1748337242224803,0,0.2285350781533987,0,0.39706099596324024,0,P38-alpha_protein_receptor.pdbqt
BDB15239,1,0.4202255631472499,0,0.4627493301402548,0,0.160147870226509,0,0.1524067005937234,0,0.2988823660269343,0,P38-alpha_protein_receptor.pdbqt
BDB15365,1,0.5902849493210941,1,0.501613849765258,1,0.1387335542423649,0,0.1519447473645946,0,0.3456442751733279,0,HSP90_protein_receptor.pdbqt
BDB15366,1,0.4759227385733409,0,0.5030087576742506,1,0.0846602283065165,0,0.139797649339634,0,0.3008473434734355,0,HSP90_protein_receptor.pdbqt
BDB15372,1,0.6141717664308026,1,0.4951584507042254,0,0.0826166315993962,0,0.0795165394402035,0,0.31786584704365695,0,HSP90_protein_receptor.pdbqt
BDB15393,1,0.7716532797858101,1,0.5446009389671359,1,0.3276995305164319,0,0.3135541621228644,0,0.4893769778480606,0,HSP90_protein_receptor.pdbqt
BDB15404,1,0.785996366418053,1,0.52787558685446,1,0.5060266166893836,1,0.3468829516539439,0,0.5416953804039601,1,HSP90_protein_receptor.pdbqt
BDB15408,1,0.7738923949767323,1,0.5916960093896715,1,0.5258329547175528,1,0.3699063976735732,0,0.5653319391893825,1,HSP90_protein_receptor.pdbqt
BDB15410,1,0.7079954739593292,1,0.5513497652582159,1,0.5286091549295775,1,0.2979189385677935,0,0.521468333178729,1,HSP90_protein_receptor.pdbqt
BDB15412,1,0.3651728403234427,0,0.366343896713615,0,0.085120943192993,0,0.0714376590330788,0,0.22201883481578238,0,P38-alpha_protein_receptor.pdbqt
BDB15413,1,0.3697815069803021,0,0.3629694835680751,0,0.1571986834801915,0,0.0808524173027989,0,0.2427005228328419,0,P38-alpha_protein_receptor.pdbqt
BDB15419,1,0.5509601899662141,1,0.4158192927032602,0,0.0857652823400229,0,0.1163379983036471,0,0.29222069082828606,0,P38-alpha_protein_receptor.pdbqt
BDB15448,1,0.4823741853862333,0,0.4579750047533383,0,0.0632609359508135,0,0.0958409063370895,0,0.27486275810686867,0,P38-alpha_protein_receptor.pdbqt
BDB15457,1,0.5588026710014662,1,0.7715669014084507,1,0.4463643160331855,0,0.397417468028155,0,0.5435378391178144,1,P38-alpha_protein_receptor.pdbqt
BDB15459,1,0.7538439472174412,1,0.6188380281690142,1,0.4207868117797695,0,0.3637495456197747,0,0.5393045831965,1,P38-alpha_protein_receptor.pdbqt
BDB15754,1,0.6056655192197362,1,0.2787878530908673,0,0.0948199484269898,0,0.0522823656411442,0,0.25788892159468435,0,JNK2_protein_receptor.pdbqt
BDB15755,1,0.5877717942476978,1,0.719043427230047,1,0.5224542253521126,1,0.4397400945110868,0,0.567252385335236,1,P38-alpha_protein_receptor.pdbqt
BDB15759,1,0.4273276366649861,0,0.470657276995305,0,0.3174346002379031,0,0.2238351343313175,0,0.3598136620573779,0,P38-alpha_protein_receptor.pdbqt
BDB15765,1,0.605137215528782,1,0.426244806422089,0,0.1775549999528526,0,0.1432070156306797,0,0.3380360093836008,0,P38-alpha_protein_receptor.pdbqt
BDB15773,1,0.4475776844752748,0,0.3765217272628016,0,0.1263297284370816,0,0.1164394765539803,0,0.2667171541822846,0,P38-alpha_protein_receptor.pdbqt
BDB15908,1,0.728191336775674,1,0.5905223004694835,1,0.0922788924225136,0,0.1121773900399854,0,0.3807924799269141,0,JNK2_protein_receptor.pdbqt
BDB15916,1,0.8049316312870529,1,0.546654929577465,1,0.1242323565046191,0,0.1077108324245728,0,0.39588243744842744,0,JNK2_protein_receptor.pdbqt
BDB15953,1,0.7187280869509782,1,0.4090653836813988,0,0.0636619060311242,0,0.0555222343390282,0,0.3117444027506323,0,JNK2_protein_receptor.pdbqt
BDB16015,1,0.7364083317396571,1,0.2806531423388817,0,0.16269931461441,0,0.0527035623409669,0,0.30811608775847893,0,P38-alpha_protein_receptor.pdbqt
BDB16018,1,0.3544535283993115,0,0.5941901408450704,1,0.2256953287428496,0,0.2302798982188295,0,0.35115472405151527,0,JNK2_protein_receptor.pdbqt
BDB16318,1,0.6826663798049342,1,0.5269257438074444,1,0.1041139406572842,0,0.0918893129770992,0,0.3513988443116905,0,P38-alpha_protein_receptor.pdbqt
BDB16325,1,0.5450707592273856,1,0.2550574813155799,0,0.0890012826737662,0,0.0391857506361323,0,0.23207881846321599,0,P38-alpha_protein_receptor.pdbqt
BDB16329,1,0.5662123964834809,1,0.256316278380533,0,0.0904449215937409,0,0.0362141039621955,0,0.23729692510498757,0,P38-alpha_protein_receptor.pdbqt
BDB16333,1,0.2968668324090011,0,0.3274647887323944,0,0.1547775951287837,0,0.0948064340239912,0,0.21847891257354257,0,P38-alpha_protein_receptor.pdbqt
BDB16346,1,0.550209813613428,1,0.5423866602030143,1,0.0864902976267904,0,0.16462195565249,0,0.3359271817739307,0,P38-alpha_protein_receptor.pdbqt
BDB16350,1,0.5136721489131129,1,0.3058322841083892,0,0.0691703470624324,0,0.0632315521628498,0,0.23797658306169608,0,P38-alpha_protein_receptor.pdbqt
BDB16364,1,0.5227003251099636,1,0.3444835680751175,0,0.0771316958094226,0,0.1043984005816066,0,0.26217849739402754,0,P38-alpha_protein_receptor.pdbqt
BDB16379,1,0.2932922164849876,0,0.3119219925920683,0,0.0475494890871728,0,0.0489185750636132,0,0.17542056830696048,0,P38-alpha_protein_receptor.pdbqt
BDB16384,1,0.5027052655064703,1,0.6715082159624414,1,0.2816494852650035,0,0.2788258814976372,0,0.4336722120578881,0,P38-alpha_protein_receptor.pdbqt
BDB16387,1,0.3324082042455536,0,0.3553492226390167,0,0.1364901258830174,0,0.1019053677450623,0,0.2315382301281625,0,P38-alpha_protein_receptor.pdbqt
BDB16389,1,0.4934316631605789,0,0.3471244131455399,0,0.1952727006020898,0,0.1281079607415485,0,0.2909841844124393,0,P38-alpha_protein_receptor.pdbqt
BDB16390,1,0.3871995920188691,0,0.3882042253521126,0,0.1208522398485344,0,0.1134723736822973,0,0.2524321077254533,0,P38-alpha_protein_receptor.pdbqt
BDB16405,1,0.5862346210237777,1,0.4768192488262908,0,0.2062676047923741,0,0.1711468556888404,0,0.36011708258282077,0,P38-alpha_protein_receptor.pdbqt
BDB17055,1,0.6587389239497673,1,0.380155833393707,0,0.0606795277699378,0,0.0967102871683024,0,0.29907114307042865,0,JAK3_protein_receptor.pdbqt
BDB18045,1,0.4493354369860394,0,0.3324498950756678,0,0.0894193156763001,0,0.1110141766630316,0,0.24555470610025973,0,DHFR_protein_receptor.pdbqt
BDB18246,1,0.5532415375788869,1,0.2434310251994903,0,0.0119251282901343,0,0.0185750636132315,0,0.20679318867043575,0,DHFR_protein_receptor.pdbqt
BDB18497,1,0.6380498183209025,1,0.2976109219363367,0,0.0736344663144266,0,0.0305979643765903,0,0.25997329273706404,0,DHFR_protein_receptor.pdbqt
BDB18771,1,0.6956859182762796,1,0.2258620356624459,0,0.1247861348603811,0,0.0330152671755725,0,0.2698373389936698,0,DHFR_protein_receptor.pdbqt
BDB18784,1,0.4359501498055715,0,0.3812967202334671,0,0.0649103640592832,0,0.090598873137041,0,0.2431890268088407,0,TS_protein_receptor.pdbqt
BDB18792,1,0.4021809460062472,0,0.3060904285354357,0,0.1016396050586323,0,0.0653398764085787,0,0.2188127140022235,0,TS_protein_receptor.pdbqt
BDB19130,1,0.8050344234079173,1,0.6970363849765259,1,0.099807190376909,0,0.2685977826245002,0,0.4676189453464631,0,HDAC2_protein_receptor.pdbqt
BDB19385,1,0.783681044524418,1,0.4468896713615023,0,0.1221359255812249,0,0.1071973827699018,0,0.3649760060592618,0,DHFR_protein_receptor.pdbqt
BDB19430,1,0.486523321613683,0,0.6651441976239522,1,0.2669474792027945,0,0.2958696837513632,0,0.42862117054794824,0,P38-alpha_protein_receptor.pdbqt
BDB19551,1,0.7079723656530885,1,0.2174011410361118,0,0.0328300842045205,0,0.0154898218829516,0,0.2434233531941681,0,CATL_protein_receptor.pdbqt
BDB19564,1,0.7335580416905717,1,0.3290923900815491,0,0.0431830680873733,0,0.0353689567430025,0,0.28530061415062413,0,CATL_protein_receptor.pdbqt
BDB19565,1,0.6881127685344551,1,0.3111483980710044,0,0.0310836816405341,0,0.0469465648854961,0,0.2693228532828724,0,CATL_protein_receptor.pdbqt
BDB19568,1,0.7409064830751575,1,0.3518951203102189,0,0.0328354535525394,0,0.0331106870229007,0,0.2896869359902041,0,CATL_protein_receptor.pdbqt
BDB19578,1,0.7833229744374323,1,0.3929125004479806,0,0.0151324264467689,0,0.0109142130134496,0,0.30057052858640787,0,CATL_protein_receptor.pdbqt
BDB19580,1,0.7045340090520813,1,0.2907696185101209,0,0.0128078018115115,0,0.0059796437659033,0,0.2535227682849042,0,CATL_protein_receptor.pdbqt
BDB19589,1,0.7395438898450946,1,0.2836574556925141,0,0.0191524239990738,0,0.0057251908396946,0,0.2620197400940943,0,CATL_protein_receptor.pdbqt
BDB19592,1,0.7308806655192197,1,0.3338680123873906,0,0.0400471916138088,0,0.0462195565249,0,0.2877538565113298,0,CATL_protein_receptor.pdbqt
BDB19600,1,0.8641263466564673,1,0.2765668839724361,0,0.1091247953472506,0,0.0560705198109778,0,0.3264721364467829,0,CATL_protein_receptor.pdbqt
BDB19604,1,0.869405399375279,1,0.2685676547960428,0,0.2129389330043248,0,0.0497228280625227,0,0.35015870380954234,0,CATL_protein_receptor.pdbqt
BDB19610,1,0.7525769745649262,1,0.3208086985010343,0,0.0339118846507082,0,0.0162213740458015,0,0.2808797329406176,0,CATL_protein_receptor.pdbqt
BDB19620,1,0.7402148275642251,1,0.3257510082893697,0,0.012800407903863,0,0.0283715012722646,0,0.2767844362574306,0,CATL_protein_receptor.pdbqt
BDB19622,1,0.7666355899789634,1,0.3383392180166863,0,0.0399913916004724,0,0.0275808796801163,0,0.2931367698190596,0,CATL_protein_receptor.pdbqt
BDB19627,1,0.7261689615605278,1,0.227222070904415,0,0.0162404961921579,0,0.0187022900763358,0,0.24708345468335915,0,CATL_protein_receptor.pdbqt
BDB19633,1,0.876233505450373,1,0.3294899686786918,0,0.0702529843907414,0,0.0779262086513995,0,0.3384756667928014,0,CATL_protein_receptor.pdbqt
BDB19648,1,0.7448317077835153,1,0.2986790889931173,0,0.0516376975658024,0,0.0380588876772082,0,0.2833018455049108,0,CATL_protein_receptor.pdbqt
BDB19649,1,0.8423240581373111,1,0.2637726616303715,0,0.0595375352174227,0,0.0282442748091603,0,0.29846963244856645,0,CATL_protein_receptor.pdbqt
BDB19659,1,0.6760550137056159,1,0.3299420354434651,0,0.0321625246546041,0,0.039228159457167,0,0.26934693331521303,0,CATL_protein_receptor.pdbqt
BDB19662,1,0.8135852935551731,1,0.2723493547785504,0,0.0581302190689468,0,0.013858596873864,0,0.28948086606913354,0,CATL_protein_receptor.pdbqt
BDB19663,1,0.7525267737617135,1,0.295577927642149,0,0.0645674236427756,0,0.0652580879680116,0,0.2944825532536624,0,CATL_protein_receptor.pdbqt
BDB19681,1,0.7735999553770637,1,0.2172377977162474,0,0.0142533651085721,0,0.0101145038167938,0,0.2538014055046693,0,CATL_protein_receptor.pdbqt
BDB19702,1,0.7119414164594886,1,0.3977491775470341,0,0.0513483024563075,0,0.0450109051254089,0,0.30151245039705976,0,CATL_protein_receptor.pdbqt
BDB19703,1,0.6626004016064259,1,0.3393334248662696,0,0.0299063310196417,0,0.0420710650672482,0,0.26847780563989637,0,CATL_protein_receptor.pdbqt
BDB19712,1,0.7052559444125709,1,0.4849884170564349,0,0.0283527032988601,0,0.0280579789167575,0,0.3116637609211559,0,CATL_protein_receptor.pdbqt
BDB19713,1,0.7660483202651878,1,0.2758205323411257,0,0.0124069158188411,0,0.0057251908396946,0,0.2650002398162123,0,CATL_protein_receptor.pdbqt
BDB19716,1,0.8159766048320264,1,0.390628174273509,0,0.0995124348820203,0,0.0360050890585241,0,0.33553057576151996,0,CATL_protein_receptor.pdbqt
BDB19722,1,0.750253394530503,1,0.2566883226124275,0,0.0383471883687939,0,0.0261450381679389,0,0.2678584859199158,0,CATL_protein_receptor.pdbqt
BDB19724,1,0.6105923694779116,1,0.3756622366239373,0,0.0386522818661411,0,0.0189840058160668,0,0.2609727234460142,0,CATL_protein_receptor.pdbqt
BDB20644,1,0.543242812519921,1,0.3294225358033347,0,0.0782419939078936,0,0.0714285714285714,0,0.2555839784149302,0,P38-alpha_protein_receptor.pdbqt
BDB20645,1,0.4981583621643863,0,0.3824513285308529,0,0.0344905542765275,0,0.0270628862231915,0,0.23554078279873952,0,P38-alpha_protein_receptor.pdbqt
BDB20655,1,0.8315956466558874,1,0.4697769953051643,0,0.1571986207183932,0,0.1252044711014176,0,0.3959439334452156,0,P38-alpha_protein_receptor.pdbqt
BDB20659,1,0.6324184182617918,1,0.3584991840682745,0,0.0304578836316073,0,0.0379316612141039,0,0.2648267867939444,0,P38-alpha_protein_receptor.pdbqt
BDB20666,1,0.6078998533817811,1,0.3622138910729554,0,0.0370726285345261,0,0.0449109414758269,0,0.2630243286162724,0,P38-alpha_protein_receptor.pdbqt
BDB20673,1,0.3492963919168739,0,0.3020424812823372,0,0.0143572141718968,0,0.0,0,0.166424021842777,0,P38-alpha_protein_receptor.pdbqt
BDB20676,1,0.7526949066105691,1,0.3407541552075893,0,0.0722220635001199,0,0.0578880407124681,0,0.3058897915076866,0,DHFR_protein_receptor.pdbqt
BDB20739,1,0.7342696181551602,1,0.4866490610328637,0,0.1361474193685301,0,0.1385511329213619,0,0.373904307869479,0,HSP90_protein_receptor.pdbqt
BDB20751,1,0.7794089054631222,1,0.4515845070422535,0,0.1477774541065225,0,0.1284532897128317,0,0.37680603908118243,0,HSP90_protein_receptor.pdbqt
BDB20779,1,0.7077508446484351,1,0.5490023474178402,1,0.2408700908776797,0,0.2432978916757543,0,0.4352302936549273,0,HSP90_protein_receptor.pdbqt
BDB20783,1,0.7544152801682922,1,0.5560282994261867,1,0.4578774723870163,0,0.2261995637949836,0,0.4986301539441197,0,HSP90_protein_receptor.pdbqt
BDB20799,1,0.6326376936316696,1,0.6192781690140845,1,0.2686987059190699,0,0.2480961468556888,0,0.4421776788551282,0,HSP90_protein_receptor.pdbqt
BDB20881,1,0.7635669662778098,1,0.5391725352112676,1,0.1686571090170777,0,0.1590285350781533,0,0.4076062863960771,0,HSP90_protein_receptor.pdbqt
BDB20882,1,0.7337269713775737,1,0.4643485915492957,0,0.1506354227221948,0,0.1513843450866351,0,0.3750238326839248,0,HSP90_protein_receptor.pdbqt
BDB20885,1,0.7638195639701661,1,0.4614143192488261,0,0.2324053530060656,0,0.1192111959287531,0,0.39421260803845276,0,HSP90_protein_receptor.pdbqt
BDB20886,1,0.7884299101166572,1,0.4172451743697767,0,0.0757842811474963,0,0.0635496183206106,0,0.3362522459886352,0,HSP90_protein_receptor.pdbqt
BDB20892,1,0.8554471855676674,1,0.4342723004694836,0,0.253080985915493,0,0.206228038289107,0,0.4372571275604378,0,HSP90_protein_receptor.pdbqt
BDB20901,1,0.7432946069994263,1,0.428843896713615,0,0.2150127282667808,0,0.1081970192657215,0,0.37383706281138596,0,HSP90_protein_receptor.pdbqt
BDB20903,1,0.7100154586600371,1,0.4125400128040973,0,0.0605479840382364,0,0.0685114503816793,0,0.3129037264710125,0,HSP90_protein_receptor.pdbqt
BDB20924,1,0.7029714094473128,1,0.502787558685446,1,0.0547443091031343,0,0.101972010178117,0,0.3406188218535025,0,HSP90_protein_receptor.pdbqt
BDB20925,1,0.6581157965194108,1,0.4700704225352113,0,0.0558392550006708,0,0.0790712468193384,0,0.31577418021865783,0,HSP90_protein_receptor.pdbqt
BDB20928,1,0.6808090949657214,1,0.4432218309859155,0,0.0566208378556625,0,0.0675617957106506,0,0.3120533898794875,0,HSP90_protein_receptor.pdbqt
BDB20929,1,0.6483887932683113,1,0.469336854460094,0,0.189994131455399,0,0.1974130619168786,0,0.37628321027517075,0,HSP90_protein_receptor.pdbqt
BDB20931,1,0.7119238860202715,1,0.5152395433205293,1,0.0412955974798774,0,0.0545801526717557,0,0.33075979487310847,0,HSP90_protein_receptor.pdbqt
BDB21079,1,0.5545013386880856,1,0.5126774678992385,1,0.1739278815441243,0,0.1902535441657579,0,0.3578400580743016,0,JNK2_protein_receptor.pdbqt
BDB21642,1,0.64008892713712,1,0.4924231859805699,0,0.1413472133336393,0,0.1353053435114504,0,0.3522911674906949,0,ACE_protein_receptor.pdbqt
BDB22449,1,0.813369350417543,1,0.4218693571686529,0,0.1421919830678053,0,0.1025127226463104,0,0.36998585332507794,0,HDAC2_protein_receptor.pdbqt
BDB24622,1,0.8004908522980813,1,0.4495305164319249,0,0.0378871085834123,0,0.0541848418756815,0,0.335523329797275,0,HDAC2_protein_receptor.pdbqt
BDB25148,1,0.7917630840823613,1,0.4197312564306984,0,0.111259169045194,0,0.0869592875318066,0,0.35242819927251506,0,HDAC2_protein_receptor.pdbqt
BDB25752,1,0.5469425320328936,1,0.4391138497652582,0,0.0224467198131212,0,0.0398854961832061,0,0.2620971494486198,0,ADRB2_protein_receptor.pdbqt
BDB2579,1,0.6153765857079111,1,0.2794934764869545,0,0.1068723704175097,0,0.0734096692111959,0,0.2687880254558928,0,JNK2_protein_receptor.pdbqt
BDB2581,1,0.3814209217823675,0,0.6854460093896714,1,0.4652777777777778,0,0.525813340603417,1,0.5144895123883084,1,JAK3_protein_receptor.pdbqt
BDB26057,1,0.6851134697520243,1,0.3288819941160561,0,0.0996587426776746,0,0.0736777535441657,0,0.2968329900224802,0,JNK2_protein_receptor.pdbqt
BDB26198,1,0.4918498670004695,0,0.75,1,0.4325553117994316,0,0.4958878589603779,0,0.5425732594400697,1,JAK3_protein_receptor.pdbqt
BDB26367,1,0.5845724166507301,1,0.4102221100921586,0,0.2937238553189925,0,0.1343117654186356,0,0.35570753687012924,0,P38-alpha_protein_receptor.pdbqt
BDB26375,1,0.7807922164849876,1,0.358069145989645,0,0.1724302492218813,0,0.1591648491457651,0,0.36761411521056975,0,P38-alpha_protein_receptor.pdbqt
BDB26376,1,0.6026080512526297,1,0.3504968026550105,0,0.2337537085372765,0,0.1027717193747728,0,0.3224075704549224,0,P38-alpha_protein_receptor.pdbqt
BDB26379,1,0.5690854326396495,1,0.4180456114679312,0,0.2905018854738598,0,0.1703426026899309,0,0.36199388306784286,0,P38-alpha_protein_receptor.pdbqt
BDB27960,1,0.4614306432077517,0,0.4353560952160397,0,0.1009538031246236,0,0.1534351145038168,0,0.2877939140130579,0,ADRB2_protein_receptor.pdbqt
BDB27961,1,0.8194563970166379,1,0.7445715962441313,1,0.3796948356807512,0,0.5112474251787228,1,0.6137425635300607,1,ERBB2_protein_receptor.pdbqt
BDB27962,1,0.8267952763434689,1,0.6851525821596245,1,0.3289319248826292,0,0.4695534956985339,0,0.5776083197710641,1,ERBB2_protein_receptor.pdbqt
BDB27963,1,0.8720397462867344,1,0.7212441314553992,1,0.3675176056338028,0,0.5717617835938447,1,0.6331408167424453,1,ERBB2_protein_receptor.pdbqt
BDB27964,1,0.8279228023203926,1,0.5107100938967136,1,0.161915172906835,0,0.1593965830607052,0,0.41498616304616165,0,ERBB2_protein_receptor.pdbqt
BDB27965,1,0.8200245426149041,1,0.5073356807511736,1,0.1773201024842998,0,0.1744002181025082,0,0.41977013598822144,0,ERBB2_protein_receptor.pdbqt
BDB27968,1,0.8730947599923505,1,0.7607100938967137,1,0.3306924882629107,0,0.4722101054162123,0,0.6091768618920468,1,ERBB2_protein_receptor.pdbqt
BDB27970,1,0.8026447058073565,1,0.3710387323943662,0,0.1722972707105761,0,0.1224872773536895,0,0.3671169965664971,0,ERBB2_protein_receptor.pdbqt
BDB28692,1,0.8177352266207687,1,0.5366784037558685,1,0.5391725352112674,1,0.2037668120683388,0,0.5243382444140609,1,PPARG_protein_receptor.pdbqt
BDB28762,1,0.786389207624147,1,0.4574530516431923,0,0.180371645495205,0,0.1341375863322428,0,0.3895878727736968,0,PPARG_protein_receptor.pdbqt
BDB29884,1,0.7589245872378404,1,0.4467783815569474,0,0.2916089658676827,0,0.2245637949836423,0,0.43046893241152817,0,PPARG_protein_receptor.pdbqt
BDB30718,1,0.3458644100210364,0,0.3318470760110307,0,0.0314412463270765,0,0.0424603174603174,0,0.18790326245486524,0,MDM2_protein_receptor.pdbqt
BDB31085,1,0.828357079110091,1,0.3024451319567893,0,0.081420474317583,0,0.0878377559675269,0,0.32501511033799757,0,JAK3_protein_receptor.pdbqt
BDB31095,1,0.6219744055587427,1,0.4440099901735996,0,0.0427732912713069,0,0.0682115594329334,0,0.29424231160914566,0,JAK3_protein_receptor.pdbqt
BDB31199,1,0.52856266335182,1,0.389541707610001,0,0.1649675962557329,0,0.142341627837811,0,0.3063533987638412,0,MDM2_protein_receptor.pdbqt
BDB31201,1,0.3194930515713647,0,0.3315018217680511,0,0.0413937741333671,0,0.0589694656488549,0,0.18783952828040945,0,MDM2_protein_receptor.pdbqt
BDB31202,1,0.4363262574105946,0,0.3373279830437408,0,0.0203422122517283,0,0.0513449654671028,0,0.2113353545432916,0,MDM2_protein_receptor.pdbqt
BDB31204,1,0.4641829221648497,0,0.3466997654870032,0,0.012985760054479,0,0.069920728126835,0,0.22344729395829174,0,MDM2_protein_receptor.pdbqt
BDB31209,1,0.5084767641996558,1,0.5628885928181703,1,0.3209968970130264,0,0.3193111595783351,0,0.4279183534022969,0,MDM2_protein_receptor.pdbqt
BDB31216,1,0.5757593867533626,1,0.421981264534246,0,0.166451556784403,0,0.1548027989821883,0,0.32974875176354995,0,MDM2_protein_receptor.pdbqt
BDB31224,1,0.574867724867725,1,0.4762653020929312,0,0.0852274019233342,0,0.1063613231552163,0,0.31068043800980166,0,MDM2_protein_receptor.pdbqt
BDB31225,1,0.6455416905718111,1,0.4562793427230048,0,0.2110918448991955,0,0.1558660487095602,0,0.36719473172589284,0,MDM2_protein_receptor.pdbqt
BDB31226,1,0.5873876458213808,1,0.4509976525821595,0,0.2114641765197764,0,0.1280625227190112,0,0.344477999410582,0,MDM2_protein_receptor.pdbqt
BDB31285,1,0.4330380685802372,0,0.4703247343845375,0,0.2214043361481215,0,0.2007906215921482,0,0.3313894401762611,0,MDM2_protein_receptor.pdbqt
BDB31287,1,0.5047300312360553,1,0.3685632647186855,0,0.075124676216397,0,0.06714417897624,0,0.25389053778684445,0,MDM2_protein_receptor.pdbqt
BDB31288,1,0.5173662905590618,1,0.4228286384976526,0,0.2293012728184693,0,0.2592481521870834,0,0.3571860885155668,0,MDM2_protein_receptor.pdbqt
BDB31289,1,0.422792758334927,0,0.3183961454364702,0,0.0526703736746859,0,0.0591512177390039,0,0.21325262379627175,0,MDM2_protein_receptor.pdbqt
BDB31292,1,0.5156682284694334,1,0.3923719931297375,0,0.1123670148044601,0,0.0734369320247182,0,0.2734610421070873,0,MDM2_protein_receptor.pdbqt
BDB31293,1,0.4953775419136865,0,0.40282403882756,0,0.0669807584225722,0,0.0728371501272264,0,0.25950487232276126,0,MDM2_protein_receptor.pdbqt
BDB31294,1,0.477819213361382,0,0.3606780353105689,0,0.0311527742471164,0,0.0279898218829516,0,0.22440996120050472,0,MDM2_protein_receptor.pdbqt
